Фраза,Показы,Пиллар,Интент,Тип,Сид,Asset,Статус,Приоритет,ЦелевойURL,Причина
куда можно поступить после 9 класса чита,937,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
сколько лет екатерине климовой,937,D,info,assoc,d09_ddo_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,ДДО Климова (та же методика)
после 9 класса список профессий техникумы,936,C,info,top,c03_professii_posle_9,aggregator,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
куда поступить с русским английским и обществознанием,931,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
куда поступить в кургане после 9 класса,929,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда можно поступить после 9 парню,929,C,info,top,c09_kuda_postupat_parnyu,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#parnyu,Гендер-срез после 11
профессии связанные с будущим,929,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
куда поступить в липецке после 9 класса,927,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда поступить с егэ история обществознание русский,927,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
куда поступить с русским обществом и историей,927,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
профессии для девушек зарплата список,927,E,info,top,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
какую профессию выбрать человеку,925,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
куда поступить после 9 класса в хабаровске,925,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда поступить в вологде после 9 класса,925,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
список высокооплачиваемых профессий,921,E,info,top,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
9 класс куда можно поступить парню,919,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда поступить после 9 класса в абакане,918,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда поступать с английским и обществознанием егэ,915,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
востребованные профессии образования,915,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
на кого можно пойти учиться девушке,912,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
тесты на профессию 11 класс,912,D,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
профориентация является,911,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
куда поступить после 9 класса на повара,909,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда можно поступить профессии девушка,907,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда поступить в пензе после 9 класса,904,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда поступать на программиста после 9 класса,901,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
профориентация 2026 год,901,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
востребованные профессии в москве,900,E,info,top,e02_vostrebovannye,aggregator,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
топ самых высокооплачиваемых профессий,900,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
куда можно поступить с обществом и биологией,899,C,info,top,c12_s_biologiej,main,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
задачи профориентации,899,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
какие профессии востребованы и высокооплачиваемые,897,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
куда поступать после 9 класса в ульяновске,895,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
профессия сварщик после 9 класса,890,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
список вредных профессий для досрочной,890,E,info,top,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
что такое спо в образовании,889,C,info,assoc,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
какие профессии востребованы в ближайшие 10 лет,889,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
темы по профориентации,889,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
профориентация где,889,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
список вредных профессий для досрочной пенсии,888,E,info,top,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
куда поступить с информатикой и обществознанием,886,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
профориентация онлайн без регистрации,883,0,commercial,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
пермское речное училище,881,C,info,assoc,g02_kolledzhi_perm,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
сколько профессии после 9 класса,880,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
куда поступать с литературой и историей,880,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
санкт петербург куда поступить после 11 класса,878,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
опросник ддо климова,878,D,info,top,d09_ddo_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,ДДО Климова (та же методика)
тест на профессию после 9 девушке,877,D,info,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
профессии специальности будущего,877,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
профессия будущего человек человек,877,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
профессии после 9 класса барнаул,876,C,info,top,c03_professii_posle_9,aggregator,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
социальная профориентации,876,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
вы поступили бы также,873,C,info,assoc,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
тест на профессию после 9 класса девушке,872,D,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
госслужба тестирование,870,D,info,assoc,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
какая профессия востребована через 5,870,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
психологическая профориентация,865,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
профориентация результаты,864,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
на кого пойти учиться в колледж,862,C,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
профессии после 9 класса кемерово,862,C,info,top,c03_professii_posle_9,aggregator,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
5 профориентация,862,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
профессии для девушек после 11 класса востребованные,861,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
какая профессия подходит мне для девушек,860,B,info,top,b05_kakaya_professiya_podhodit,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Подбор профессии → /test/
список запрещенных профессий,860,E,info,top,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
куда поступать с русским литературой и обществознанием,859,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
куда поступать с химией кроме меда,859,C,info,top,c14_s_himiej,main,Создана посадочная,P3,/kuda-postupat-s-himiej/,Перечень Минобрнауки → направления (готово)
голланд профориентация,859,D,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
орел куда поступить после 9 класса,858,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда поступить с биологией кроме меда,858,C,info,top,c12_s_biologiej,main,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
какую профессию выбрать девушке,857,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
самые востребованные профессии 2026 года в россии,857,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
профориентация для школьников 9,857,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
какая профессия мне подходит тест для девушек,856,D,info,top,b05_kakaya_professiya_podhodit,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Подбор профессии → /test/
куда поступить после окончания 9 класса,855,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда поступать после 9 класса общество,850,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
профориентация 4,850,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
ддо е а климова,849,D,info,top,d09_ddo_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,ДДО Климова (та же методика)
тест на профессию 9 класс бесплатно,847,D,commercial,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
профессии будущего отзывы,845,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
вредное производство список профессий,843,E,info,top,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
куда поступить после 11 класса в омске,841,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда нужно поступать после 9 класса,839,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
проект по профориентации,838,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
хочу профессию будущего,836,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
куда поступить после 9 девушке бесплатно,832,C,commercial,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
пройти тест на профориентацию бесплатно,832,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
куда можно поступить после 9 класса спб,827,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
профориентация холланда,827,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
медицинские профессии после 9 класса,826,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
профориентация для школьников 9 класс,824,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
ставрополь куда поступить после 9 класса,823,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда поступать с биологией русским и обществознанием,823,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
какие профессии будут востребованы через 5 лет,823,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
профориентация в доу,823,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
какие профессии после 9 класса список,820,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
психолог профориентация,819,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
медколледж иркутск,818,C,info,assoc,g05_kolledzhi_irkutsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
куда поступить с биологией москва,817,C,info,top,c12_s_biologiej,aggregator,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
профессия дизайнера после 9 класса,816,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
работа востребованные профессии,816,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
профессии после 9 класса колледжи бюджет,814,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
высокооплачиваемые профессии после 9 класса в россии,811,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
куда поступить после 9 го класса,808,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
учиться после 9 класса список профессий,807,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
профориентация профессии 9 класс,807,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
куда поступить с базовой историей и,804,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
обществознание после 9 класса куда поступить,803,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
профессии после 9 класса для девушек 2026,803,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
профориентация вузов,802,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
профессии после 9 класса колледжи для девушек,801,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
куда поступить с обществознанием русским москва,801,C,info,top,c10_s_obschestvoznaniem,aggregator,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
ребенок не знает кем быть,798,A,info,top,a01_rebenok_ne_znaet,main,Создать новый контент-хаб,P1,/roditelyam/,Родителям; SERP: main-experts 0/10 — greenfield
куда поступать после 11 класса в иркутске,798,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
10 профессия будущего,797,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
куда поступить после 9 класса в астрахани,796,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда можно поступить с обществознанием бюджет,796,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
тест на профессию после 9 бесплатно,796,D,commercial,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
профессии высокооплачиваемые профессии востребованы в россии,796,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
профориентация 3,796,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
как выбрать какую профессию выбрать,795,B,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
куда поступить заочно после 11 класса,792,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить после 11 класса история общество,790,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступать с профильной математикой и историей,790,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
куда поступить после 11 класса по аттестату,789,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
тест какую профессию выбрать,787,D,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
куда можно поступить после 9 класса томск,785,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда поступить после 9 класса в туле,785,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
профессии для поступления после 9 класса,785,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
техникум это какое образование считается,785,C,info,assoc,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
хорошая профориентация,785,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
список профессий и организаций,784,E,info,top,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
какие профессии сдавать после 11 класса,782,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
какие профессии сейчас востребованы в россии,782,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
профессии более востребованные,781,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
куда можно поступить после 11 класса красноярск,778,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступать с географией после 9,778,C,info,top,c16_s_geografiej,main,Создана посадочная,P3,/kuda-postupat-s-geografiej/,Перечень Минобрнауки → направления (готово)
эссе моя будущая профессия,778,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
востребованные профессии 2026 для женщин,777,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
куда поступить с химией москва,776,C,info,top,c14_s_himiej,aggregator,Создана посадочная,P3,/kuda-postupat-s-himiej/,Перечень Минобрнауки → направления (готово)
профессии будущего щепкина 38,776,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
профориентация тесты онлайн без регистрации,774,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
профессии будущего 2026,774,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
куда можно поступить с егэ по физике,773,C,info,top,c15_s_fizikoj,main,Создана посадочная,P3,/kuda-postupat-s-fizikoj/,Перечень Минобрнауки → направления (готово)
программа профессии будущего,773,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
кем можно пойти работать с образованием,772,B,info,top,b06_kem_pojti_rabotat,main,Расширить существующую,P0,/professiya/,«Кем пойти работать» = список профессий → каталог
питер куда поступить после 11 класса,772,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
кем пойти работать после колледжа,770,C,info,top,b06_kem_pojti_rabotat,main,Расширить существующую,P0,/professiya/,«Кем пойти работать» = список профессий → каталог
профориентация человек человек,770,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
рамка профориентация,769,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
куда поступить после 9 класса в калуге,767,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда можно поступить с профилем обществознание,767,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
колледж это какое образование считается,766,C,info,assoc,c07_kem_stat_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО
куда поступить с егэ история общество,765,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
профориентация онлайн профессии,765,0,commercial,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
профориентация тест онлайн бесплатно без регистрации,764,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
вредная работа список профессий,763,E,info,top,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
куда поступать с профилем и физикой,762,C,info,top,c15_s_fizikoj,main,Создана посадочная,P3,/kuda-postupat-s-fizikoj/,Перечень Минобрнауки → направления (готово)
как выбрать профессию тест,761,D,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
дифференциально диагностический опросник климова ддо,761,D,info,top,d09_ddo_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,ДДО Климова (та же методика)
список вредных должностей и профессий,761,E,info,top,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
какие профессии нужны после 9 класса,760,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
профессии после 9 класса спб,759,C,info,top,c03_professii_posle_9,aggregator,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
куда поступить после 11 класса в перми,757,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
топ профессий после 9 класса,755,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
тесты на выбор профессии 9 класс,755,D,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
образование будущего профессии,755,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
40.03 01 специальность,755,E,info,assoc,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
какие специальности востребованы в 2026,755,E,info,assoc,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
куда поступить на автомеханика после 9 класса,752,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда поступить после 9 класса в сыктывкаре,751,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда можно поступить с английским и историей,751,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
куда можно поступить с биологией и географией,751,C,info,top,c12_s_biologiej,main,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
киров куда можно поступить после 9 класса,750,C,info,top,c01_kuda_postupat_posle_9,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
профориентация 9 класс онлайн,749,0,commercial,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
профориентация 8 класс,748,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
куда можно поступить девушке бесплатно,746,C,commercial,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
гиктест пройти тестирование,746,D,commercial,assoc,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
самые востребованные профессии после 9,746,C,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
